team,activePlayers,verallSalary,averageSalary,seasonStarting,points
Fulham F.C.,15,"43,264,000",2884266.667,2020,28
Arsenal F.C.,28,"131,899,273",4710688.321,2020,61
Aston Villa F.C.,24,"55,145,396",2297724.833,2020,55
Chelsea F.C.,25,"145,206,000",5808240,2020,67
Everton F.C.,23,"84,051,000",3654391.304,2020,59
Liverpool F.C.,31,"132,854,000",4285612.903,2020,69
Manchester City F.C.,25,"139,129,000",5565160,2020,86
Manchester United F.C.,27,"179,855,000",6661296.296,2020,74
Newcastle United F.C.,29,"56,946,200",1963662.069,2020,45
Southampton F.C.,24,"49,642,000",2068416.667,2020,43
Tottenham Hotspur F.C.,27,"129,175,200",4784266.667,2020,41
West Bromwich Albion F.C.,17,"22,486,200",1322717.647,2020,62
Burnley F.C.,23,"36,518,000",1587739.13,2020,26
Crystal Palace,29,"87,759,000",3026172.414,2020,44
Leicester City,27,"74,351,000",2753740.741,2020,66
Brighton & Hove Albion,31,"46,153,333",1488817.194,2020,41
Leeds United F.C.,29,"25,766,800",888510.3448,2020,59
Sheffield United F.C.,27,"19,708,800",729955.5556,2020,23
Wolverhampton Wanderers F.C.,24,"52,234,000",2176416.667,2020,45
West Ham United F.C.,25,"68,400,000",2736000,2020,65
AFC Bournemouth,29,36760000,1267586.21,2019,34
Arsenal F.C.,25,111406273,4456250.92,2019,56
Brighton & Hove Albion,29,41042666,1415264.35,2019,41
Burnley F.C.,25,48604000,1944160,2019,54
Chelsea F.C.,29,121290000,4182413.79,2019,66
Crystal Palace,25,75322000,3012880,2019,43
Everton F.C.,25,83376000,3335040,2019,49
Leicester City,28,75469000,2695321.43,2019,62
Liverpool F.C.,25,115090000,4603600,2019,99
Manchester City F.C.,25,146521000,5860840,2019,81
Manchester United F.C.,28,157595000,5628392.86,2019,66
Newcastle United F.C.,25,49361000,1974440,2019,44
Norwich City F.C.,26,13894000,534384.62,2019,21
Sheffield United F.C.,26,16572000,637384.62,2019,54
Southampton F.C.,22,51456000,2338909.09,2019,52
Tottenham Hotspur F.C.,25,90138000,3605520,2019,59
Watford,22,42744000,1942909.09,2019,34
West Ham United F.C.,27,72420000,2682222.22,2019,39
Wolverhampton Wanderers F.C.,26,50045000,1924807.69,2019,59
AFC Bournemouth,26,17940000,690000,2018,45
Arsenal F.C.,28,128651273,4594688.32,2018,70
Brighton & Hove Albion,23,38860666,1689594.17,2018,36
Burnley F.C.,24,41880000,1745000,2018,40
Cardiff City F.C.,23,24085166,1047181.13,2018,34
Chelsea F.C.,28,132903000,4746535.71,2018,72
Crystal Palace,25,69888000,2795520,2018,49
Everton F.C.,28,84112000,3004000,2018,54
Fulham F.C.,24,42398800,1766616.67,2018,26
Huddersfield Town,25,31033600,1241344,2018,16
Leicester City,28,79508000,2839571.43,2018,52
Liverpool F.C.,26,122200000,4700000,2018,97
Manchester City F.C.,26,145206000,5584846.15,2018,98
Manchester United F.C.,26,148980000,5730000,2018,66
Newcastle United F.C.,24,46176000,1924000,2018,45
Southampton F.C.,24,70096000,2920666.67,2018,39
Tottenham Hotspur F.C.,23,86346000,3754173.91,2018,71
Watford,23,46752000,2032695.65,2018,50
West Ham United F.C.,25,85020000,3400800,2018,52
Wolverhampton Wanderers F.C.,25,41033000,1641320,2018,57
Arsenal F.C.,31,133381273,4302621.71,2017,63
Brighton & Hove Albion,31,47101333,1519397.84,2017,40
Burnley F.C.,22,35474000,1612454.55,2017,54
Chelsea F.C.,28,138700000,4953571.43,2017,70
Crystal Palace,31,92550000,2985483.87,2017,44
Everton F.C.,34,90547000,2663147.06,2017,49
Leicester City,27,79445000,2942407.41,2017,47
Liverpool F.C.,25,118130000,4725200,2017,75
Manchester City F.C.,25,135177000,5407080,2017,100
Manchester United F.C.,30,183455000,6115166.67,2017,81
Newcastle United F.C.,28,56686200,2024507.14,2017,44
Southampton F.C.,24,50066000,2086083.33,2017,36
Tottenham Hotspur F.C.,29,131815200,4545351.72,2017,77
West Ham United F.C.,24,63600000,2650000,2017,42
