team,transferBuget,amountSpent,seasonStarting,points
Arsenal F.C.,39.4,51,2017,63
Brighton & Hove Albion,20,46.2,2017,40
Burnley F.C.,10,47,2017,54
Chelsea F.C.,40,201.8,2017,70
Crystal Palace,10.6,44.3,2017,44
Everton F.C.,45,151.2,2017,49
Leicester City,9.5,53,2017,47
Liverpool F.C.,40,80,2017,75
Manchester City F.C.,28.9,217,2017,100
Manchester United F.C.,31.3,169.5,2017,81
Newcastle United F.C.,15,47,2017,44
Southampton F.C.,31,57.2,2017,36
Tottenham Hotspur F.C.,50,53.7,2017,77
West Ham United F.C.,6,48.3,2017,42
AFC Bournemouth,3.6,47,2018,45
Arsenal F.C.,93,71,2018,70
Brighton & Hove Albion,23.62,31,2018,36
Burnley F.C.,13.39,19,2018,40
Cardiff City F.C.,6,29,2018,34
Chelsea F.C.,86,129,2018,72
Crystal Palace,11.14,10,2018,49
Everton F.C.,33.17,89,2018,54
Fulham F.C.,7,105,2018,26
Huddersfield Town,11.51,30,2018,16
Leicester City,35.14,104,2018,52
Liverpool F.C.,97.16,177,2018,97
Manchester City F.C.,108,60,2018,98
Manchester United F.C.,50.21,82,2018,66
Newcastle United F.C.,12.26,23,2018,45
Southampton F.C.,46.09,56,2018,39
Tottenham Hotspur F.C.,94.96,0,2018,71
Watford,11.17,24,2018,50
West Ham United F.C.,46.03,99,2018,52
Wolverhampton Wanderers F.C.,10,59,2018,57
AFC Bournemouth,3.6,9.2,2019,34
Arsenal F.C.,68.7,82.5,2019,56
Brighton & Hove Albion,4.8,58.51,2019,41
Burnley F.C.,15.5,6.5,2019,54
Chelsea F.C.,49,0,2019,66
Crystal Palace,8.5,0,2019,43
Everton F.C.,4.3,58.5,2019,49
Leicester City,21,11,2019,62
Liverpool F.C.,40,0,2019,99
Manchester City F.C.,56.9,76.7,2019,81
Manchester United F.C.,83,74,2019,66
Newcastle United F.C.,23,33.3,2019,44
Norwich City F.C.,10,1.1,2019,21
Sheffield United F.C.,16,43,2019,54
Southampton F.C.,32.9,24,2019,52
Tottenham Hotspur F.C.,27.7,71.8,2019,59
Watford,37.1,27.3,2019,34
West Ham United F.C.,20.7,44.75,2019,39
Wolverhampton Wanderers F.C.,19.3,62,2019,59
Fulham F.C.,10,23,2020,28
Arsenal F.C.,10,81.5,2020,61
Aston Villa F.C.,25,85,2020,55
Chelsea F.C.,120,226.1,2020,67
Everton F.C.,10,65,2020,59
Liverpool F.C.,102,85,2020,69
Manchester City F.C.,44,147,2020,86
Manchester United F.C.,100,54.4,2020,74
Newcastle United F.C.,20,35,2020,45
Southampton F.C.,25,34.9,2020,43
Tottenham Hotspur F.C.,30,77,2020,41
West Bromwich Albion F.C.,10,42.3,2020,62
Burnley F.C.,20,0,2020,26
Crystal Palace,30,17,2020,44
Leicester City,30,51.5,2020,66
Brighton & Hove Albion,15,13.4,2020,41
Leeds United F.C.,15,106,2020,59
Sheffield United F.C.,20,53,2020,23
Wolverhampton Wanderers F.C.,15,87.1,2020,45
West Ham United F.C.,16,20,2020,65
